sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-10 11:45,driveee,운연정,77,8,geenl,모험 - 교체,"올리브오일 산패 확인법과 가짜 구별, 보관 온도 기준까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/77
2,2026-07-10 11:45,mealtalkdht,빨간모자앤 1,8,7,ahffkekd12,긍정이백퍼  1,"부평 웨딩홀 유형별 특징과 홀 크기, 식대 비교",https://cafe.naver.com/ca-fe/cafes/31750099/articles/8
3,2026-07-10 11:46,petinfo183,티니피쉬 1,30,8,ahffkdlek12,바삭바삭해 1,"방역업체 소독 의무 대상과 법정 횟수, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/30
4,2026-07-10 11:47,driveee,운연정,57,8,ahfflwl123,햄부기,"답례품 종류와 가격대별 고르는 기준, 결혼과 조문 정리",https://cafe.naver.com/ca-fe/cafes/31746635/articles/57
5,2026-07-10 11:48,petinfo183,티니피쉬 1,29,8,alsrudgus531,운연정,"입주청소 평당 단가와 추가금, 청소업체 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/29
6,2026-07-10 11:48,petinfo183,티니피쉬 1,25,8,eghfsa5478,오세아니야 1,"광주 예식장 계약금과 위약금, 취소 환불 기준까지",https://cafe.naver.com/ca-fe/cafes/31750098/articles/25
7,2026-07-10 11:49,petinfo183,티니피쉬 1,24,8,ahsxkfldk12,쉽고간단하게,"신정호 카페 둘레길 동선과 주차, 시간대별 방문 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/24
8,2026-07-10 11:50,petinfo183,티니피쉬 1,22,8,bigfish773,고래낚시 1,"일산 웨딩홀 비용과 대관료, 최소보증인원 확인 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/22
9,2026-07-10 11:51,petinfo183,티니피쉬 1,19,8,ghostrush7,실눈캐,"선풍기 AC BLDC 모터 차이와 소비전력, 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750098/articles/19
10,2026-07-10 11:51,petinfo183,티니피쉬 1,16,8,n7c3w8z2,고양이밥 1,드라이기 추천 예산대별 실제 모델과 가격 비교까지,https://cafe.naver.com/ca-fe/cafes/31750098/articles/16
11,2026-07-10 11:52,mealtalkdht,빨간모자앤 1,8,8,pixelninja3,건강박사석사 1,"부평 웨딩홀 유형별 특징과 홀 크기, 식대 비교",https://cafe.naver.com/ca-fe/cafes/31750099/articles/8
